,X,intervention,indivcost,scotcost,intlabel,type,type2,include,symbol,focus,definition
1,1,Attendance Allowance +10%,NA,20272548,attall10pc,income,Undo,0,circle,population,10% increase in the devolved benefit Attendance Allowance. 
2,2,Attendance Allowance +50%,NA,101364480,attall50pc,income,Undo,0,circle,population,50% increase in the devolved benefit Attendance Allowance. 
3,3,Carer's Allowance +10%,NA,3984180,care10pc,income,Undo,0,circle,population,10% increase in the devolved benefit Carer’s Allowance. 
4,4,Carer's Allowance +50%,NA,22892256,care50pc,income,Undo,0,circle,population,50% increase in the devolved benefit Carer’s Allowance. 
5,5,Devolved benefits +10%,NA,154084740,devolved10pc,income,Undo,0,circle,population,"10% increase in these benefits devolved to the Scottish Government: Attendance Allowance, Carer's Allowance, Disability Living Allowance/Personal Independence Payment, Industrial Injuries Disability Benefit, Severe Disability Allowance, and Winter Fuel Allowance.  "
6,6,DLA/PIP +10%,NA,105818280,dlapip10pc,income,Undo,0,circle,population,10% increase in the devolved benefits Disability Living Allowance/Personal Independence Payment (DLA/PIP).  
7,7,DLA/PIP +50%,NA,529086900,dlapip50pc,income,Undo,0,circle,population,50% increase in the devolved benefits Disability Living Allowance/Personal Independence Payment (DLA/PIP).  
8,8,Income Tax additional rate +5p,NA,-50542032,ithrup5p,income,Undo,0,circle,population,Income Tax additional rate increased by 5p (to 50p).
9,9,Income Tax basic rate +5p,NA,-1696793076,itbrup5p,income,Undo,0,circle,population,Income Tax basic rate increased by 5p (to 25p).
10,10,Income Tax basic rate -1p,NA,339525684,itbrdown1p,income,Undo,0,circle,population,Income Tax basic rate decreased by 1p (to 19p).
11,11,Industrial Injuries Disability Benefit +10%,NA,4396152,indinj10pc,income,Undo,0,circle,population,10% increase in the devolved benefit Industrial Injuries Disability Benefit.  
12,12,Industrial Injuries Disability Benefit +50%,NA,21980916,indinj50pc,income,Undo,0,circle,population,50% increase in the devolved benefit Industrial Injuries Disability Benefit.  
13,13,Means-tested benefits +10%,NA,442028316,bundle10pc,income,Undo,0,circle,population,"10% increase in these benefits paid to those who pass an income test: Child Tax Credit, Working Tax Credit, Housing Benefit, income-based Job-Seeker’s Allowance, income-based Employment and Support Allowance, and Income Support. "
14,14,Severe Disability Allowance +10%,NA,1831800,sevdis10pc,income,Undo,0,circle,population,10% increase in the devolved benefit Severe Disability Allowance.  
15,15,Severe Disability Allowance +50%,NA,9159540,sevdis50pc,income,Undo,0,circle,population,50% increase in the devolved benefit Severe Disability Allowance.  
16,16,Winter Fuel Allowance +10%,NA,17781876,winter10pc,income,Undo,0,circle,population,10% increase in the devolved benefit Winter Fuel Allowance.  
17,17,Winter Fuel Allowance +50%,NA,88901424,winter50pc,income,Undo,0,circle,population,50% increase in the devolved benefit Winter Fuel Allowance.  
18,18,Alcohol Brief Intervention,39,NA,ABI,alcohol,Mitigate,1,x,individual,"Consistent with the Scottish Government's Local Development Plan, based on NICE Guidance, an Alcohol Brief Intervention (ABI) is described as ""a short, evidence-based, structured conversation about alcohol consumption with a patient/client that seeks in a non-confrontational way to motivate and support the individual to think about and/or plan a change in their drinking behaviour in order to reduce their consumption and/or their risk of harm."" The key components of an ABI and guidance for professionals delivering ABIs are available at http://www.healthscotland.scot/publications/alcohol-brief-intervention-resources.  An Alcohol Brief Intervention is an effective approach for reducing consumption among hazardous and harmful drinkers. "
19,19,Benefit uptake +1%,NA,35696856,uptake1pc,income,Prevent,1,circle,individual,"A 1% increase in the number of claimants of means-tested benefits, which may arise from wider availability of income-maximisation advice services, for example."
20,20,Physical activity brief intervention,7,NA,BriefPA,physical activity,Mitigate,1,triangle-up,individual,"Brief physical activity advice involves verbal advice, discussion, negotiation or encouragement, with or without written or other support or follow-up. It aims to improve health and wellbeing by raising awareness of the importance of physical activity and encouraging people to increase or maintain their activity level. "
